,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data
19019,United Kingdom,Dungeness B,GBR1000052,1050.0,50.9133,0.964,,British Energy (now part of EDF),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,GEODB,
19346,United Kingdom,Hartlepool,GBR1000053,1180.0,54.6341,-1.1801,,British Energy (now part of EDF),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,GEODB,
19371,United Kingdom,Heysham 1,GBR1000054,1155.0,54.0285,-2.916,,British Energy (now part of EDF),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,GEODB,
19372,United Kingdom,Heysham 2,GBR1000055,1230.0,54.0285,-2.916,,British Energy (now part of EDF),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,GEODB,
19420,United Kingdom,Hinkley Point B,GBR1000056,955.0,51.2085,-3.1334,,British Energy (now part of EDF),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,GEODB,
19463,United Kingdom,Hunterston B,GBR1000057,965.0,55.7204,-4.8964,,British Energy (now part of EDF),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,GEODB,
20374,United Kingdom,Sizewell B,GBR1000058,1198.0,52.2145,1.6206,,British Energy (now part of EDF),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,GEODB,
20586,United Kingdom,Torness,GBR1000059,1185.0,55.9679,-2.4086,,British Energy (now part of EDF),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,GEODB,
21213,United States of America,Arkansas Nuclear One,USA0008055,1845.0,35.311,-93.2351,1977.5542005420052,Entergy Arkansas Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
21454,United States of America,Beaver Valley,USA0006040,1846.8,40.6219,-80.4336,1981.5,FirstEnergy Nuclear Operating Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
21741,United States of America,Braidwood Generation Station,USA0006022,2449.8,41.2435,-88.2286,1988.0,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
21819,United States of America,Browns Ferry,USA0000046,3494.0,34.7042,-87.1189,1975.351459645106,Tennessee Valley Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
