,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data
6550,China,Ling Ao,WRI1061023,3914.0,22.6,114.55,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN,CARMA,
6712,China,Ningde,WRI1061024,4072.0,27.0446,120.2855,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN,,
6884,China,Qinshan 2,WRI1061025,4101.0,30.433,120.9501,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN,,
7327,China,Tianwan,WRI1061026,1980.0,34.69,119.46,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN,,
7582,China,Yangjiang,WRI1061027,4000.0,21.71,112.26,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN,,
8080,Czech Republic,Dukonavy,WRI1019175,2040.0,49.0852,16.1479,,CEZ Group,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/nuclear-power-plants/dukovany.html,WRI,
8348,Czech Republic,Temelín,WRI1019174,2133.0,49.1796,14.3795,2002.0,CEZ Group,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/nuclear-power-plants/temelin.html,WRI,
8723,Finland,Loviisa Y1,WRI1002445,992.0,60.3708,26.3468,,Fortum Power & Heat   Power,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,GEODB,
8744,Finland,Olkiluoto 1,WRI1002473,1760.0,61.2371,21.4433,,Teollisuuden Voima Oyj,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,GEODB,
8943,France,BELLEVILLE,WRI1002693,2620.0,47.5103,2.875,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
8944,France,BLAYAIS,WRI1002694,3640.0,45.256,-0.6932,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
8951,France,BUGEY,WRI1002701,3580.0,45.7973,5.2706,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
9105,France,CATTENOM,WRI1002703,5200.0,49.416,6.2169,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
9108,France,CHINON,WRI1002706,3620.0,47.2254,0.1656,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
9109,France,CHOOZ,WRI1002707,3000.0,50.09,4.7894,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
9110,France,CIVAUX,WRI1002708,2990.0,46.4563,0.6548,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
9117,France,CRUAS,WRI1002716,3660.0,44.6325,4.7546,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
9325,France,DAMPIERRE,WRI1002720,3560.0,47.7321,2.5185,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
9392,France,FESSENHEIM,WRI1002727,1760.0,47.9032,7.5631,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
9393,France,FLAMANVILLE,WRI1002728,2660.0,49.5366,-1.8823,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
9465,France,GOLFECH,WRI1002733,2620.0,44.106,0.8443,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
9467,France,GRAVELINES,WRI1002735,5460.0,51.0141,2.1332,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
10035,France,NOGENT,WRI1002749,2620.0,48.5171,3.5181,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
10107,France,PALUEL,WRI1002752,5320.0,49.8582,0.6354,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
10109,France,PENLY,WRI1002754,2660.0,49.9764,1.2107,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
10327,France,ST ALBAN,WRI1002777,2670.0,45.4043,4.7554,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
10329,France,ST LAURENT,WRI1002779,1830.0,47.7197,1.5783,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
10645,France,TRICASTIN 1,WRI1002782,3660.0,44.3311,4.7311,,,RTE Transmission Operator,http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp,GEODB,
10921,Germany,BROKDORF,WRI1005621,1480.0,53.8506,9.345,1986.0,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryStatisticsLandingPage.aspx,GEODB,
11061,Germany,EMSLAND,WRI1005659,1406.0,52.4716,7.3204,1988.0,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryStatisticsLandingPage.aspx,GEODB,
11161,Germany,Grohnde,WRI1005703,1360.0,52.0356,9.4135,1985.0,E.ON Kernkraft GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,
11321,Germany,ISAR-2,WRI1005849,1485.0,48.6049,12.2936,1988.0,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryStatisticsLandingPage.aspx,GEODB,
11369,Germany,Kernkraft Gundremmingen,WRI1005856,2572.0,48.515,10.4016,1984.0,Kernkraftwerk Gundremmingen GmbH (KGG),Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,
11498,Germany,NECKARWESTHEIM-2,WRI1005974,1400.0,49.0408,9.1759,1989.0,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryStatisticsLandingPage.aspx,GEODB,
11561,Germany,PHILIPPSBURG-2,WRI1006001,1468.0,49.2529,8.4364,1984.0,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryStatisticsLandingPage.aspx,GEODB,
12066,Hungary,Paksi Atomerőmű,WRI1020246,1886.8,46.5739,18.8536,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,
12243,India,DAE RAJASTHAN,IND0000086,100.0,24.8747,75.6189,1972.0,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2018.0
12387,India,KAIGA,IND0000170,880.0,14.865,74.4385,2004.0,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2018.0
12390,India,KAKRAPARA,IND0000173,440.0,21.2384,73.3489,1993.0,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2018.0
12453,India,KUNDANKULAM,IND0000220,2000.0,8.1691,77.1327,2015.0,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2018.0
12488,India,Kudankulam,WRI1026848,2000.0,8.1689,77.7126,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=853,WRI,
12512,India,M.A.P.P.,IND0000242,440.0,12.5571,80.1754,1984.0,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2018.0
12574,India,N.A.P.S,IND0000283,440.0,28.156,78.4089,1990.0,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2018.0
12679,India,R.A.P.S.,IND0000350,1080.0,24.8747,75.6189,2000.0,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2018.0
12838,India,TARAPUR,IND0000445,1400.0,19.8294,72.6617,1996.0,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2018.0
13140,Iran,Bushehr,WRI1023916,1000.0,28.8298,50.8857,2011.0,Nuclear Power Production and Development Company of Iran,IAEA,https://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310,WRI,
13628,Japan,Fukushima Daina,WRI1000678,4400.0,37.3164,141.0265,,Tokyo,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13634,Japan,Genkai,WRI1000687,3478.0,33.5152,129.836,,Kyushu,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13643,Japan,Hamaoka,WRI1000680,3617.0,34.6235,138.1421,,Chubu,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13651,Japan,Higashi-Dori,WRI1000675,1100.0,41.188,141.3903,,Tohoku,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13665,Japan,Ikata,WRI1000686,2022.0,33.4909,132.3088,,Shikoku,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13701,Japan,Kashiwazaki Kariwa,WRI1000679,8212.0,37.4259,138.5941,,Tokyo,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13747,Japan,Mihama,WRI1000682,826.0,35.7024,135.9634,,Kansai,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13790,Japan,Ohi,WRI1000684,4710.0,35.5424,135.6544,,Kansai,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13808,Japan,Onagawa,WRI1000676,2174.0,38.4,141.5,,Tohoku,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13836,Japan,Sendai,WRI1000688,1780.0,31.8335,130.1887,,Kyushu,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13841,Japan,Shika,WRI1000681,1746.0,37.0609,136.7265,,Hokuriku,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13843,Japan,Shimane,WRI1000685,820.0,35.5379,132.9991,,Chugoku,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13873,Japan,Takahama,WRI1000683,3392.0,35.5223,135.5036,,Kansai,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13893,Japan,Tokai Daini,WRI1000689,1100.0,36.4215,140.6028,,Japan Atomic Power Co.,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13900,Japan,Tomari,WRI1000674,2000.0,43.0367,140.5125,,Hokkaido,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
13913,Japan,Tsuruga,WRI1000690,1160.0,35.7519,136.0189,,Japan Atomic Power Co.,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,
14324,Mexico,Laguna Verde,MEX0001769,1510.0,19.7208,-96.4064,,CFE,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,North American Cooperation on Energy Information and Comisión Reguladora de Energía,2016.0
14541,Netherlands,Borssele Nuclear Power Station,WRI1019300,485.0,51.4312,3.7174,1973.0,EPZ,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=NL,WRI,
15024,Pakistan,Chasnupp,WRI1001626,1330.0,32.392,71.4616,,Pakistan Atomic Energy Commission,Islamabad Chamber of Commerce and Industry,http://icci.com.pk/data/downloads/63/1293619048_1.pdf,GEODB,
15043,Pakistan,Kanupp,WRI1001625,137.0,24.845,66.7888,1971.0,Pakistan Atomic Energy Commission,Islamabad Chamber of Commerce and Industry,http://icci.com.pk/data/downloads/63/1293619048_1.pdf,GEODB,
15917,Romania,NPP Cernavoda,WRI1019093,1298.0,44.3215,28.0568,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,
15951,Russia,Balakovo NPP,WRI1023915,4000.0,52.0928,47.9539,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Balakovo_NPP,WRI,
15958,Russia,Beloyarsk,WRI1003666,1480.0,56.8417,61.3225,1964.0,Rosatom,IAEA,http://www.rosenergoatom.ru/wps/wcm/connect/rosenergoatom_copy/site_en/NPP/,CARMA,
15965,Russia,Bilibino,WRI1003671,48.0,68.0503,166.5389,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Bilibino_NPP,GEODB,
16120,Russia,Kalinn NPP,WRI1003717,4000.0,57.905,35.0614,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Kalinin_NPP,WRI,
16146,Russia,Kola NPP,WRI1003733,1760.0,67.4667,32.4667,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Kola_NPP,GEODB,
16169,Russia,Kursk,WRI1003744,4000.0,51.675,35.6056,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Kursk_NPP,GEODB,
16174,Russia,Leningrad NPP,WRI1003749,4000.0,59.8528,29.0486,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Leningrad_NPP,GEODB,
16241,Russia,Novovoronezh,WRI1003775,1880.0,51.2822,39.21,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Novovoronezh_NPP,GEODB,
16279,Russia,Rostov NPP,WRI1003791,4000.0,47.5993,42.3717,2001.0,Rosatom,IAEA,http://www.rosenergoatom.ru/wps/wcm/connect/rosenergoatom_copy/ronpp/,GEODB,
